LineId,Date,Time,Pid,Tid,Level,Component,Content,EventId,EventTemplate,variables
1,03-17,16:13:38.811,1702,2395,D,WindowManager,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false",E0,"printFreezingDisplayLogsopening app wtoken = <*> token= <*> <*> <*> <*> <*> allDrawn= false, startingDisplayed = false, startingMoved = false, isRelaunching = false","[['com.tencent.qt.qtl', 'activity.info.NewsDetailXmlActivity', '9f4ef63', 'a64f992', 'de9231d']]"
2,03-17,16:13:38.819,1702,8671,D,PowerManagerService,"acquire lock=233570404, flags=0x1, tag=""View Lock"", name=com.android.systemui, ws=null, uid=10037, pid=2227",E1,"acquire lock= <*> flags= <*> tag= ""View Lock"", name= <*> ws= null, uid= <*> pid= <*>","[['com.android.systemui', '233570404', '0x1', '10037', '2227']]"
3,03-17,16:13:38.820,1702,8671,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E6,"ready= true, policy= <*> wakefulness= <*> wksummary= <*> uasummary= <*> bootcompleted= true, boostinprogress= false, waitmodeenable= false, mode= false, manual= <*> auto= <*> adj= <*> <*>","[['3', '1', '0x23', '0x1', '38', '1', '0', '0']]"
4,03-17,16:13:38.839,1702,2113,V,WindowManager,Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,E9,Skipping <*> token= <*> <*> <*> <*> <*> -- going to hide,"[['/com', 'com.tencent.qt.qtl', 'tencent.video.player.activity.PlayerActivity', 'df0798e', '78af589', '3b04890']]"
5,03-17,16:13:38.859,2227,2227,D,TextView,visible is system.time.showampm,E11,visible is <*>,[['system.time.showampm']]
6,03-17,16:13:38.861,2227,2227,D,TextView,mVisiblity.getValue is false,E12,mVisiblity.getValue is false,[[]]
7,03-17,16:13:38.869,2227,2227,D,TextView,visible is system.charge.show,E11,visible is <*>,[['system.charge.show']]
8,03-17,16:13:38.871,2227,2227,D,TextView,mVisiblity.getValue is false,E12,mVisiblity.getValue is false,[[]]
9,03-17,16:13:38.875,2227,2227,D,TextView,visible is system.call.count gt 0,E41,visible is <*> gt <*>,"[['system.call.count', '0']]"
10,03-17,16:13:38.877,2227,2227,D,TextView,mVisiblity.getValue is false,E12,mVisiblity.getValue is false,[[]]
11,03-17,16:13:38.881,2227,2227,D,TextView,visible is system.message.count gt 0,E41,visible is <*> gt <*>,"[['system.message.count', '0']]"
12,03-17,16:13:38.882,2227,2227,D,TextView,mVisiblity.getValue is false,E12,mVisiblity.getValue is false,[[]]
13,03-17,16:13:38.887,2227,2227,D,TextView,visible is system.ownerinfo.show,E11,visible is <*>,[['system.ownerinfo.show']]
14,03-17,16:13:38.888,2227,2227,D,TextView,mVisiblity.getValue is false,E12,mVisiblity.getValue is false,[[]]
15,03-17,16:13:38.905,1702,10454,D,PowerManagerService,"release:lock=233570404, flg=0x0, tag=""View Lock"", name=com.android.systemui"", ws=null, uid=10037, pid=2227",E2,"release: lock= <*> flg= <*> tag= ""View Lock"", name= <*> ws= null, uid= <*> pid= <*>","[['com.android.systemui', '233570404', '0x0', '10037', '2227']]"
16,03-17,16:13:38.907,1702,10454,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E6,"ready= true, policy= <*> wakefulness= <*> wksummary= <*> uasummary= <*> bootcompleted= true, boostinprogress= false, waitmodeenable= false, mode= false, manual= <*> auto= <*> adj= <*> <*>","[['3', '1', '0x23', '0x1', '38', '1', '0', '0']]"
17,03-17,16:13:38.915,1702,3693,V,WindowManager,Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,E9,Skipping <*> token= <*> <*> <*> <*> <*> -- going to hide,"[['/com', 'com.tencent.qt.qtl', 'tencent.video.player.activity.PlayerActivity', 'df0798e', '78af589', '3b04890']]"
18,03-17,16:13:38.928,2227,2227,I,StackScrollAlgorithm,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-24.0",E55,"updateClipping isOverlap: false, getTopPadding= <*> Translation= <*>","[['333', '0', '24', '0']]"
19,03-17,16:13:38.928,2227,2227,I,StackScrollAlgorithm,updateDimmedActivatedHideSensitive overlap:false,E13,updateDimmedActivatedHideSensitive overlap: false,[[]]
20,03-17,16:13:38.935,1702,3697,W,ActivityManager,getRunningAppProcesses: caller 10113 does not hold REAL_GET_TASKS; limiting output,E63,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,[['10113']]
21,03-17,16:13:38.936,1702,14638,D,PowerManagerService,"release:lock=189667585, flg=0x0, tag=""*launch*"", name=android"", ws=WorkSource{10113}, uid=1000, pid=1702",E72,release: lock= <*> flg= <*> tag= <*> name= <*> ws= <*> uid= <*> pid= <*>,"[['189667585', '0x0', '10113', '1000', '1702'], '<*>,', '<*>,', '<*>,', '""*launch*"",', 'android"",']"
22,03-17,16:13:38.938,1702,14638,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E6,"ready= true, policy= <*> wakefulness= <*> wksummary= <*> uasummary= <*> bootcompleted= true, boostinprogress= false, waitmodeenable= false, mode= false, manual= <*> auto= <*> adj= <*> <*>","[['3', '1', '0x23', '0x1', '38', '1', '0', '0']]"
23,03-17,16:13:38.954,2227,2227,I,PhoneStatusBar,"setSystemUiVisibility vis=40000500 mask=ffffffff oldVal=508 newVal=40000500 diff=40000008 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 720, 1280), dockedStackBounds=Rect(0, 0 - 0, 0)",E79,"setSystemUiVisibility vis= <*> mask= <*> oldVal= <*> newVal= <*> diff= <*> fullscreenStackVis= <*> dockedStackVis= <*> fullscreenStackBounds= Rect( <*> <*> - <*> <*> , dockedStackBounds= Rect( <*> <*> - <*> <*> ","[['40000500', 'ffffffff', '508', '40000500', '40000008', '0', '0', '0', '0', '720', '1280', '0', '0', '0', '0']]"
24,03-17,16:13:38.955,2227,2227,I,PhoneStatusBar,cancelAutohide,E80,cancelAutohide,[[]]
25,03-17,16:13:38.955,2227,2227,I,PhoneStatusBar,"notifyUiVisibilityChanged:vis=0x40000500, SystemUiVisibility=0x40000500",E42,notifyUiVisibilityChanged: vis= <*> SystemUiVisibility= <*>,"[['0x40000500', '0x40000500']]"
26,03-17,16:13:38.994,1702,27365,I,WindowManager,Destroying surface Surface(name=SurfaceView - com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity) called by com.android.server.wm.WindowStateAnimator.destroyDeferredSurfaceLocked:942 com.android.server.wm.WindowManagerService.performDeferredDestroyWindow:3407 com.android.server.wm.Session.performDeferredDestroy:225 android.view.IWindowSession$Stub.onTransact:398 com.android.server.wm.Session.onTransact:136 android.os.Binder.execTransact:565 <bottom of call stack> <bottom of call stack>,E103,Destroying surface Surface( name= SurfaceView - <*> called by <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <bottom of call stack> <bottom of call stack>,"[['/com', 'com.tencent.qt.qtl', 'tencent.video.player.activity.PlayerActivity', 'com.android.server.wm.WindowStateAnimator.destroyDeferredSurfaceLocked', 'com.android.server.wm.WindowManagerService.performDeferredDestroyWindow', 'com.android.server.wm.Session.performDeferredDestroy', 'android.view.IWindowSession', 'com.android.server.wm.Session.onTransact', 'android.os.Binder.execTransact', '942', '3407', '225', '398', '136', '565']]"
27,03-17,16:13:39.006,1702,2639,I,WindowManager,Destroying surface Surface(name=com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity) called by com.android.server.wm.WindowStateAnimator.destroySurface:2060 com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:913 com.android.server.wm.WindowState.destroyOrSaveSurface:2201 com.android.server.wm.WindowManagerService.tryStartExitingAnimation:3299 com.android.server.wm.WindowManagerService.relayoutWindow:3179 com.android.server.wm.Session.relayout:215 android.view.IWindowSession$Stub.onTransact:286 com.android.server.wm.Session.onTransact:136,E104,Destroying surface Surface( name= <*> called by <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,"[['/com', 'com.tencent.qt.qtl', 'tencent.video.player.activity.PlayerActivity', 'com.android.server.wm.WindowStateAnimator.destroySurface', 'com.android.server.wm.WindowStateAnimator.destroySurfaceLocked', 'com.android.server.wm.WindowState.destroyOrSaveSurface', 'com.android.server.wm.WindowManagerService.tryStartExitingAnimation', 'com.android.server.wm.WindowManagerService.relayoutWindow', 'com.android.server.wm.Session.relayout', 'android.view.IWindowSession', 'com.android.server.wm.Session.onTransact', '2060', '913', '2201', '3299', '3179', '215', '286', '136']]"
28,03-17,16:13:39.010,1702,2639,D,PowerManagerService,"release:lock=62617001, flg=0x0, tag=""WindowManager"", name=android"", ws=WorkSource{10113}, uid=1000, pid=1702",E72,release: lock= <*> flg= <*> tag= <*> name= <*> ws= <*> uid= <*> pid= <*>,"[['62617001', '0x0', '10113', '1000', '1702'], '<*>,', '<*>,', '<*>,', 'android"",', '""WindowManager"",']"
29,03-17,16:13:39.011,1702,2639,D,PowerManagerService,"userActivityNoUpdateLocked: eventTime=261843648, event=0, flags=0x1, uid=1000",E65,userActivityNoUpdateLocked: eventTime= <*> event= <*> flags= <*> uid= <*>,"[['261843648', '0', '0x1', '1000']]"
30,03-17,16:13:39.011,1702,2639,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E6,"ready= true, policy= <*> wakefulness= <*> wksummary= <*> uasummary= <*> bootcompleted= true, boostinprogress= false, waitmodeenable= false, mode= false, manual= <*> auto= <*> adj= <*> <*>","[['3', '1', '0x1', '0x1', '38', '1', '0', '0']]"
31,03-17,16:13:39.069,1702,1815,I,WindowManager,"orientation change is complete, call stopFreezingDisplayLocked",E106,"orientation change is complete, call stopFreezingDisplayLocked",[[]]
32,03-17,16:13:39.070,1702,1815,I,WindowManager,Screen frozen for +1s0ms due to Window{ca98d5 u0 com.tencent.qt.qtl/com.tencent.qt.qtl.activity.info.NewsDetailXmlActivity},E66,Screen frozen for <*> due to <*> <*> <*>,"[['/com', 'com.tencent.qt.qtl', 'tencent.qt.qtl.activity.info.NewsDetailXmlActivity', 'ca98d5']]"
33,03-17,16:13:39.070,1702,1815,D,WindowManager,startAnimation begin,E114,startAnimation begin,[[]]
34,03-17,16:13:39.079,1702,1815,D,WindowManager,startAnimation end,E115,startAnimation end,[[]]
35,03-17,16:13:39.080,1702,1815,D,PowerManagerService,"release:lock=226887582, flg=0x0, tag=""SCREEN_FROZEN"", name=android"", ws=null, uid=1000, pid=1702",E73,"release: lock= <*> flg= <*> tag= <*> name= <*> ws= null, uid= <*> pid= <*>","[['226887582', '0x0', '1000', '1702'], '<*>,', '<*>,', '<*>,', 'android"",', '""SCREEN_FROZEN"",']"
36,03-17,16:13:39.080,1702,1815,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E6,"ready= true, policy= <*> wakefulness= <*> wksummary= <*> uasummary= <*> bootcompleted= true, boostinprogress= false, waitmodeenable= false, mode= false, manual= <*> auto= <*> adj= <*> <*>","[['3', '1', '0x1', '0x1', '38', '1', '0', '0']]"
37,03-17,16:13:39.095,1702,8671,I,AlarmManager,remove(PendingIntent{19abed0: PendingIntentRecord{a485420 com.tencent.qt.qtl broadcastIntent}}) changed bounds; rebatching,E123,remove( <*> <*> <*> broadcastIntent}}) changed bounds; rebatching,"[['com.tencent.qt.qtl', '19abed0', 'a485420']]"
38,03-17,16:13:39.207,1702,1815,I,WindowManager,"rotationForOrientationLw(orient=1, last=0); user=0 USER_ROTATION_LOCKED",E67,rotationForOrientationLw( orient= <*> last= <*> ; user= <*> USER_ROTATION_LOCKED,"[['1', '0', '0']]"
39,03-17,16:13:39.207,1702,1815,I,WindowManager,"Application requested orientation 1, got rotation 0 which has compatible metrics",E129,Application requested orientation <*> got rotation <*> which has compatible metrics,"[['1', '0']]"
40,03-17,16:13:40.142,1702,2618,D,PowerManagerService,"acquire lock=166121161, flags=0x1, tag=""RILJ_ACK_WL"", name=com.android.phone, ws=null, uid=1001, pid=2626",E74,"acquire lock= <*> flags= <*> tag= <*> name= <*> ws= null, uid= <*> pid= <*>","[['com.android.phone', '166121161', '0x1', '1001', '2626'], '<*>,', '<*>,', '<*>,', '""RILJ_ACK_WL"",', '<*>,']"
41,03-17,16:13:40.143,1702,2618,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E6,"ready= true, policy= <*> wakefulness= <*> wksummary= <*> uasummary= <*> bootcompleted= true, boostinprogress= false, waitmodeenable= false, mode= false, manual= <*> auto= <*> adj= <*> <*>","[['3', '1', '0x1', '0x1', '38', '1', '0', '0']]"
42,03-17,16:13:40.146,1702,2555,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E6,"ready= true, policy= <*> wakefulness= <*> wksummary= <*> uasummary= <*> bootcompleted= true, boostinprogress= false, waitmodeenable= false, mode= false, manual= <*> auto= <*> adj= <*> <*>","[['3', '1', '0x1', '0x1', '38', '1', '0', '0']]"
43,03-17,16:13:40.147,1702,2633,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E6,"ready= true, policy= <*> wakefulness= <*> wksummary= <*> uasummary= <*> bootcompleted= true, boostinprogress= false, waitmodeenable= false, mode= false, manual= <*> auto= <*> adj= <*> <*>","[['3', '1', '0x1', '0x1', '38', '1', '0', '0']]"
44,03-17,16:13:40.148,1702,2395,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E6,"ready= true, policy= <*> wakefulness= <*> wksummary= <*> uasummary= <*> bootcompleted= true, boostinprogress= false, waitmodeenable= false, mode= false, manual= <*> auto= <*> adj= <*> <*>","[['3', '1', '0x1', '0x1', '38', '1', '0', '0']]"
45,03-17,16:13:40.150,1702,2556,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E6,"ready= true, policy= <*> wakefulness= <*> wksummary= <*> uasummary= <*> bootcompleted= true, boostinprogress= false, waitmodeenable= false, mode= false, manual= <*> auto= <*> adj= <*> <*>","[['3', '1', '0x1', '0x1', '38', '1', '0', '0']]"
46,03-17,16:13:40.190,1702,2250,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E6,"ready= true, policy= <*> wakefulness= <*> wksummary= <*> uasummary= <*> bootcompleted= true, boostinprogress= false, waitmodeenable= false, mode= false, manual= <*> auto= <*> adj= <*> <*>","[['3', '1', '0x1', '0x1', '38', '1', '0', '0']]"
47,03-17,16:13:40.241,2626,8682,W,PhoneInterfaceManager,shouldBlockLocation running ...,E15,shouldBlockLocation running ...,[[]]
48,03-17,16:13:40.241,2626,8682,I,PhoneInterfaceManager,shouldBlockLocation  ret:false,E16,shouldBlockLocation ret: false,[[]]
49,03-17,16:13:40.280,2626,2642,W,PhoneInterfaceManager,shouldBlockLocation running ...,E15,shouldBlockLocation running ...,[[]]
50,03-17,16:13:40.280,2626,2642,I,PhoneInterfaceManager,shouldBlockLocation  ret:false,E16,shouldBlockLocation ret: false,[[]]
51,03-17,16:13:40.305,3664,3807,D,TelephonyManager,getNeighboringCellInfo calling app is com.amap.android.ams,E43,getNeighboringCellInfo calling app is <*>,[['com.amap.android.ams']]
52,03-17,16:13:40.307,2626,23469,W,PhoneInterfaceManager,shouldBlockLocation running ...,E15,shouldBlockLocation running ...,[[]]
