LineId,Time,Level,Content,EventId,EventTemplate,variables
1,Sun Dec 04 04:47:44 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
2,Sun Dec 04 04:47:44 2005,error,mod_jk child workerEnv in error state 6,E1,mod_jk child workerEnv in error state <*>,"[[], '6']"
3,Sun Dec 04 04:51:08 2005,notice,jk2_init() Found child 6725 in scoreboard slot 10,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '10', '6725']"
4,Sun Dec 04 04:51:09 2005,notice,jk2_init() Found child 6726 in scoreboard slot 8,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '8', '6726']"
5,Sun Dec 04 04:51:09 2005,notice,jk2_init() Found child 6728 in scoreboard slot 6,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '6', '6728']"
6,Sun Dec 04 04:51:14 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
7,Sun Dec 04 04:51:14 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
8,Sun Dec 04 04:51:14 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
9,Sun Dec 04 04:51:18 2005,error,mod_jk child workerEnv in error state 6,E1,mod_jk child workerEnv in error state <*>,"[[], '6']"
10,Sun Dec 04 04:51:18 2005,error,mod_jk child workerEnv in error state 6,E1,mod_jk child workerEnv in error state <*>,"[[], '6']"
11,Sun Dec 04 04:51:18 2005,error,mod_jk child workerEnv in error state 6,E1,mod_jk child workerEnv in error state <*>,"[[], '6']"
12,Sun Dec 04 04:51:37 2005,notice,jk2_init() Found child 6736 in scoreboard slot 10,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '10', '6736']"
13,Sun Dec 04 04:51:38 2005,notice,jk2_init() Found child 6733 in scoreboard slot 7,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '7', '6733']"
14,Sun Dec 04 04:51:38 2005,notice,jk2_init() Found child 6734 in scoreboard slot 9,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '9', '6734']"
15,Sun Dec 04 04:51:52 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
16,Sun Dec 04 04:51:52 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
17,Sun Dec 04 04:51:55 2005,error,mod_jk child workerEnv in error state 6,E1,mod_jk child workerEnv in error state <*>,"[[], '6']"
18,Sun Dec 04 04:52:04 2005,notice,jk2_init() Found child 6738 in scoreboard slot 6,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '6', '6738']"
19,Sun Dec 04 04:52:04 2005,notice,jk2_init() Found child 6741 in scoreboard slot 9,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '9', '6741']"
20,Sun Dec 04 04:52:05 2005,notice,jk2_init() Found child 6740 in scoreboard slot 7,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '7', '6740']"
21,Sun Dec 04 04:52:05 2005,notice,jk2_init() Found child 6737 in scoreboard slot 8,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '8', '6737']"
22,Sun Dec 04 04:52:12 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
23,Sun Dec 04 04:52:12 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
24,Sun Dec 04 04:52:12 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
25,Sun Dec 04 04:52:15 2005,error,mod_jk child workerEnv in error state 6,E1,mod_jk child workerEnv in error state <*>,"[[], '6']"
26,Sun Dec 04 04:52:15 2005,error,mod_jk child workerEnv in error state 7,E1,mod_jk child workerEnv in error state <*>,"[[], '7']"
27,Sun Dec 04 04:52:15 2005,error,mod_jk child workerEnv in error state 7,E1,mod_jk child workerEnv in error state <*>,"[[], '7']"
28,Sun Dec 04 04:52:36 2005,notice,jk2_init() Found child 6748 in scoreboard slot 6,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '6', '6748']"
29,Sun Dec 04 04:52:36 2005,notice,jk2_init() Found child 6744 in scoreboard slot 10,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '10', '6744']"
30,Sun Dec 04 04:52:36 2005,notice,jk2_init() Found child 6745 in scoreboard slot 8,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '8', '6745']"
31,Sun Dec 04 04:52:49 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
32,Sun Dec 04 04:52:49 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
33,Sun Dec 04 04:52:52 2005,error,mod_jk child workerEnv in error state 7,E1,mod_jk child workerEnv in error state <*>,"[[], '7']"
34,Sun Dec 04 04:52:52 2005,error,mod_jk child workerEnv in error state 6,E1,mod_jk child workerEnv in error state <*>,"[[], '6']"
35,Sun Dec 04 04:53:05 2005,notice,jk2_init() Found child 6750 in scoreboard slot 7,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '7', '6750']"
36,Sun Dec 04 04:53:05 2005,notice,jk2_init() Found child 6751 in scoreboard slot 9,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '9', '6751']"
37,Sun Dec 04 04:53:05 2005,notice,jk2_init() Found child 6752 in scoreboard slot 10,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '10', '6752']"
38,Sun Dec 04 04:53:15 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
39,Sun Dec 04 04:53:15 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
40,Sun Dec 04 04:53:16 2005,error,mod_jk child workerEnv in error state 7,E1,mod_jk child workerEnv in error state <*>,"[[], '7']"
41,Sun Dec 04 04:53:16 2005,error,mod_jk child workerEnv in error state 6,E1,mod_jk child workerEnv in error state <*>,"[[], '6']"
42,Sun Dec 04 04:53:29 2005,notice,jk2_init() Found child 6754 in scoreboard slot 8,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '8', '6754']"
43,Sun Dec 04 04:53:29 2005,notice,jk2_init() Found child 6755 in scoreboard slot 6,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '6', '6755']"
44,Sun Dec 04 04:53:40 2005,notice,jk2_init() Found child 6756 in scoreboard slot 7,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '7', '6756']"
45,Sun Dec 04 04:53:51 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
46,Sun Dec 04 04:53:54 2005,error,mod_jk child workerEnv in error state 7,E1,mod_jk child workerEnv in error state <*>,"[[], '7']"
47,Sun Dec 04 04:54:15 2005,notice,jk2_init() Found child 6763 in scoreboard slot 10,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '10', '6763']"
48,Sun Dec 04 04:54:15 2005,notice,jk2_init() Found child 6766 in scoreboard slot 6,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '6', '6766']"
49,Sun Dec 04 04:54:15 2005,notice,jk2_init() Found child 6767 in scoreboard slot 7,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '7', '6767']"
50,Sun Dec 04 04:54:15 2005,notice,jk2_init() Found child 6765 in scoreboard slot 8,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '8', '6765']"
51,Sun Dec 04 04:54:18 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
52,Sun Dec 04 04:54:18 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
53,Sun Dec 04 04:54:18 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
54,Sun Dec 04 04:54:18 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
55,Sun Dec 04 04:54:18 2005,error,mod_jk child workerEnv in error state 6,E1,mod_jk child workerEnv in error state <*>,"[[], '6']"
56,Sun Dec 04 04:54:18 2005,error,mod_jk child workerEnv in error state 6,E1,mod_jk child workerEnv in error state <*>,"[[], '6']"
57,Sun Dec 04 04:54:18 2005,error,mod_jk child workerEnv in error state 7,E1,mod_jk child workerEnv in error state <*>,"[[], '7']"
58,Sun Dec 04 04:54:18 2005,error,mod_jk child workerEnv in error state 7,E1,mod_jk child workerEnv in error state <*>,"[[], '7']"
59,Sun Dec 04 04:54:20 2005,notice,jk2_init() Found child 6768 in scoreboard slot 9,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '9', '6768']"
60,Sun Dec 04 04:54:20 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
61,Sun Dec 04 04:54:20 2005,error,mod_jk child workerEnv in error state 6,E1,mod_jk child workerEnv in error state <*>,"[[], '6']"
