instruction cache parity error corrected  42
program interrupt: privileged instruction.. <*>  5
program interrupt: unimplemented operation.. <*>  2
guaranteed instruction cache block touch.0  2
critical input interrupt enable.. <*>  1
rts panic! - stopping execution  2
<*> floating point alignment exceptions  121
NodeCard is not fully functional  1
<*> 0xffffffff ffffffff ffffffff ffffffff  1
<*> double-hummer alignment exceptions  109
data TLB error interrupt  60
exception syndrome register: <*>  6
machine state register: <*>  4
core configuration register: <*>  7
<*> <*> <*> <*>  1
Machine State Register: <*>  1
iar <*> dear <*>  208
CE sym <*> at <*> mask <*>  92
program interrupt: illegal instruction.. <*> <*> <*>  8
program interrupt: imprecise exception.. <*> <*> <*>  5
instruction address space.. <*> <*> <*> <*>  1
ciod: LOGIN chdir( <*> failed: Input/output error  1
ciod: failed to read message prefix on control stream ( CioStream socket to <*>  3
New ido chip inserted into the database: <*> ip= <*> v= <*> t= <*>  3
<*> ddr errors( s) detected and corrected on rank <*> symbol <*> bit <*>  18
machine check: i-fetch.. <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>  5
auxiliary processor.. <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>  5
ciod: Error loading <*> invalid or missing program image, No such file or directory  21
<*> torus receiver z+ input pipe error( s) ( dcr <*> detected and corrected  2
<*> torus receiver x+ input pipe error( s) ( dcr <*> detected and corrected  1
<*> torus receiver y+ input pipe error( s) ( dcr <*> detected and corrected  1
critical input interrupt ( unit= <*> bit= <*> <*> warning for torus y+ wire  1
critical input interrupt ( unit= <*> bit= <*> <*> warning for torus z- wire  1
ciod: Error reading message prefix on CioStream socket to <*> Connection reset by peer  4
ciod: Error reading message prefix on CioStream socket to <*> Link has been severed  8
fraction rounded.. <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>  1
<*> L3 EDRAM error( s) ( dcr <*> detected and corrected over <*> seconds  1
generating <*>  721
program interrupt  3
shutdown complete  1
force load/store alignment.. <*> <*> <*> <*> <*> <*> <*>  2
ciod: cpu <*> at treeaddr <*> sent unrecognized message 0xffffffff  1
ciod: LOGIN chdir( <*> failed: No such file or directory  18
data store interrupt caused by dcbf.. <*> <*> <*> <*>  5
data store interrupt caused by icbi.. <*> <*> <*> <*>  5
machine check enable.. <*> <*> <*> <*> <*> <*> <*>  2
ciod: Error creating node map from file <*> Permission denied  1
ciod: Received signal <*> code= <*> errno= <*> address= <*>  16
ciod: Message code <*> is not <*> or <*>  1
floating pt ex mode <*> enable.. <*> <*> <*>  5
debug interrupt enable.. <*> <*> <*> <*> <*> <*>  1
guaranteed data cache block touch.. <*> <*> <*> <*>  1
total of <*> ddr error( s) detected and corrected  13
data cache search parity error detected. attempting to correct  6
Lustre mount FAILED <*> <*> <*> block_id <*> location  2
