PacketResponder <*> for block <*> terminating  311
<*> Served block <*> to <*>  80
BLOCK* ask <*> to delete <*>  2
BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>  314
Received block <*> of size <*> from <*>  292
Receiving block <*> src: <*> dest: <*>  292
BLOCK* NameSystem.allocateBlock: <*> <*>  115
Verification succeeded for <*>  20
Deleting block <*> file <*>  263
<*> Got exception while serving <*> to <*>   80
BLOCK* NameSystem.delete: <*> is added to invalidSet of <*>  224
<*> Starting thread to transfer block <*> to <*>  1
BLOCK* ask <*> to replicate <*> to datanode(s) <*>  1
Received block <*> src: <*> dest: <*> of size <*>  2
BLOCK* ask <*> to delete <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>  2
BLOCK* ask <*> to delete <*> <*> <*> <*> <*> <*> <*> <*> <*>  1
