Created MRAppMaster for application appattempt_ <*> <*> <*>  1
Scheduled snapshot period at <*> second( s) .  1
Added global filter 'safety' ( class= <*>   1
job_ <*> <*> Transitioned from NEW to INITED  1
job_ <*> <*> Transitioned from INITED to SETUP  1
job_ <*> <*> Transitioned from SETUP to RUNNING  1
Http request log for http.requests.mapreduce is not defined  1
Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>  130
Received completed container container_ <*> <*> <*> <*>  2
Executing with tokens:   1
loaded properties from <*>  1
MRAppMaster metrics system started  1
Using callQueue class java.util.concurrent.LinkedBlockingQueue  2
adding path spec: <*>  2
IPC Server Responder: starting  2
Registered webapp guice modules  1
Resolved <*> to <*>  39
Got allocated containers <*>  10
Num completed Tasks: <*>  1
ERROR IN CONTACTING RM.  147
Kind: YARN_ AM_ RM_ TOKEN, Service: , Ident: ( appAttemptId { application_ id { id: <*> cluster_ timestamp: <*> } attemptId: <*> } keyId: <*>   1
Using mapred newApiCommitter.  1
maxTaskFailuresPerNode is <*>  1
blacklistDisablePercent is <*>  1
OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter  1
Started <*> <*>  1
yarn.client.max-cached-nodemanagers-proxies : <*>  1
OutputCommitter set in config null  1
Jetty bound to port <*>  1
Putting shuffle token in serviceData  1
Error writing History Event: <*>  1
Instantiated MRClientService at <*> <*>  1
JOB_ CREATE job_ <*> <*>  1
maxContainerCapability: <memory: <*> vCores: <*>  1
mapResourceRequest: <memory: <*> vCores: <*>  1
reduceResourceRequest: <memory: <*> vCores: <*>  1
Opening proxy : <*> <*>  13
<*> failures on node <*>  2
Registering class <*> for class <*>  9
Default file system [hdfs: <*> <*>  3
Adding protocol <*> to the server  1
Size of containertokens_ dob is <*>  1
IPC Server listener on <*> starting  2
Logging to <*> org.mortbay.log) via <*>  1
Web app <*> started at <*>  1
Connecting to ResourceManager at <*> <*>  1
Processing the event EventType: JOB_ SETUP  1
Processing the event EventType: TASK_ ABORT  2
Emitting job history data to the timeline server is not enabled  1
Added filter AM_ PROXY_ FILTER ( class= org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce  1
Added filter AM_ PROXY_ FILTER ( class= org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static  1
task_ <*> <*> m_ <*> Task Transitioned from NEW to SCHEDULED  10
task_ <*> <*> r_ <*> Task Transitioned from NEW to SCHEDULED  1
task_ <*> <*> m_ <*> Task Transitioned from SCHEDULED to RUNNING  10
task_ <*> <*> m_ <*> Task Transitioned from RUNNING to SUCCEEDED  1
The job-conf file on the remote FS is <*> <*> <*>  1
Scheduling a redundant attempt for task task_ <*> <*> m_ <*>  1
Task cleanup failed for attempt attempt_ <*> <*> m_ <*> <*>  2
Adding job token for job_ <*> <*> to jobTokenSecretManager  1
MRAppMaster launching normal, non-uberized, multi-container job job_ <*> <*>  1
Upper limit on the thread pool size is <*>  1
Done acknowledgement from attempt_ <*> <*> m_ <*> <*>  1
All maps assigned. Ramping up all remaining reduces: <*>  1
Address change detected. Old: <*> <*> New: <*> <*>  476
DFSOutputStream ResponseProcessor exception for block <*> blk_ <*> <*>  1
Not uberizing job_ <*> <*> because: not enabled; too many maps; too much input;  1
Input size for job job_ <*> <*> = <*> Number of splits = <*>  1
Assigned container container_ <*> <*> <*> <*> to attempt_ <*> <*> m_ <*> <*>  10
Shuffle port returned by ContainerManager for attempt_ <*> <*> m_ <*> <*> : <*>  10
attempt_ <*> <*> m_ <*> <*> TaskAttempt Transitioned from RUNNING to SUCCESS_ CONTAINER_ CLEANUP  1
attempt_ <*> <*> m_ <*> <*> TaskAttempt Transitioned from SUCCESS_ CONTAINER_ CLEANUP to SUCCEEDED  1
attempt_ <*> <*> m_ <*> <*> TaskAttempt Transitioned from RUNNING to FAIL_ CONTAINER_ CLEANUP  2
attempt_ <*> <*> m_ <*> <*> TaskAttempt Transitioned from FAIL_ TASK_ CLEANUP to FAILED  2
Diagnostics report from attempt_ <*> <*> m_ <*> <*> Container killed by the ApplicationMaster.  1
Number of reduces for job job_ <*> <*> = <*>  1
Auth successful for job_ <*> <*> ( auth: SIMPLE)   10
Task succeeded with attempt attempt_ <*> <*> m_ <*> <*>  1
DefaultSpeculator.addSpeculativeAttempt -- we are speculating task_ <*> <*> m_ <*>  1
Starting Socket Reader <*> for port <*>  2
Recalculating schedule, headroom= <memory: <*> vCores: <*>  131
Launching attempt_ <*> <*> m_ <*> <*>  10
KILLING attempt_ <*> <*> m_ <*> <*>  3
ATTEMPT_ START task_ <*> <*> m_ <*>  10
Reduce slow start threshold reached. Scheduling reduces.  1
We launched <*> speculations. Sleeping <*> milliseconds.  1
Thread Thread[eventHandlingThread, <*> main] threw an Exception.  1
<*>  1
Extract jar: file: <*> <*> to C: \Users\msrabi\AppData\Local\Temp\Jetty_ <*> <*> <*> <*> <*> mapreduce_ _ _ _ <*>  1
TaskAttempt: [attempt_ <*> <*> m_ <*> <*> using containerId: [container_ <*> <*> <*> <*> on NM: <*> <*>  10
Error Recovery for block <*> blk_ <*> <*> in pipeline <*> <*> <*> <*> bad datanode <*> <*>  1
nodeBlacklistingEnabled: true  1
queue: default  1
DataStreamer Exception  1
attempt_ <*> <*> m_ <*> <*> TaskAttempt Transitioned from NEW to UNASSIGNED  13
attempt_ <*> <*> r_ <*> <*> TaskAttempt Transitioned from NEW to UNASSIGNED  1
attempt_ <*> <*> m_ <*> <*> TaskAttempt Transitioned from UNASSIGNED to ASSIGNED  10
attempt_ <*> <*> m_ <*> <*> TaskAttempt Transitioned from ASSIGNED to RUNNING  10
Progress of TaskAttempt attempt_ <*> <*> m_ <*> <*> is : <*>  289
Container complete event for unknown container id container_ <*> <*> <*> <*>  1
Added attempt_ <*> <*> m_ <*> <*> to list of failed maps  2
Event Writer setup for JobId: job_ <*> <*> File: hdfs: <*> <*> <*> <*> <*> <*> <*>  1
Before Scheduling: PendingReds: <*> ScheduledMaps: <*> ScheduledReds: <*> AssignedMaps: <*> AssignedReds: <*> CompletedMaps: <*> CompletedReds: <*> ContAlloc: <*> ContRel: <*> HostLocal: <*> RackLocal: <*>  5
After Scheduling: PendingReds: <*> ScheduledMaps: <*> ScheduledReds: <*> AssignedMaps: <*> AssignedReds: <*> CompletedMaps: <*> CompletedReds: <*> ContAlloc: <*> ContRel: <*> HostLocal: <*> RackLocal: <*>  12
Slow ReadProcessor read fields took <*> ( threshold= <*> ; ack: seqno: <*> status: SUCCESS status: ERROR downstreamAckTimeNanos: <*> targets: <*> <*> <*> <*>  1
getResources( ) for application_ <*> <*> ask= <*> release= <*> newContainers= <*> finishedContainers= <*> resourcelimit= <memory: <*> vCores: <*> knownNMs= <*>  12
Processing the event EventType: CONTAINER_ REMOTE_ LAUNCH for container container_ <*> <*> <*> <*> taskAttempt attempt_ <*> <*> m_ <*> <*>  10
Processing the event EventType: CONTAINER_ REMOTE_ CLEANUP for container container_ <*> <*> <*> <*> taskAttempt attempt_ <*> <*> m_ <*> <*>  3
The job-jar file on the remote FS is hdfs: <*> <*> <*> <*>  1
Adding <*> tokens and <*> secret keys for NM use for launching container  1
JVM with ID : jvm_ <*> <*> m_ <*> asked for a task  10
JVM with ID: jvm_ <*> <*> m_ <*> given task: attempt_ <*> <*> m_ <*> <*>  10
Failed to renew lease for [DFSClient_ NONMAPREDUCE_ <*> <*> for <*> seconds. Will retry shortly ...  326
attempt_ <*> <*> m_ <*> <*> TaskAttempt Transitioned from FAIL_ CONTAINER_ CLEANUP to FAIL_ TASK_ CLEANUP  2
Cannot assign container Container: [ContainerId: container_ <*> <*> <*> <*> NodeId: <*> <*> NodeHttpAddress: <*> <*> Resource: <memory: <*> vCores: <*> Priority: <*> Token: Token { kind: ContainerToken, service: <*> <*> }, ] for a map as either container memory less than required <memory: <*> vCores: <*> or no pending map tasks - maps.isEmpty= true  1
Retrying connect to server: <*> <*> Already tried <*> time( s) ; retry policy is RetryUpToMaximumCountWithFixedSleep( maxRetries= <*> sleepTime= <*> MILLISECONDS)   146
Task: attempt_ <*> <*> m_ <*> <*> - exited : java.net.NoRouteToHostException: No Route to Host from <*> to <*> <*> failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see: http: <*>  2
Diagnostics report from attempt_ <*> <*> m_ <*> <*> Error: java.net.NoRouteToHostException: No Route to Host from <*> to <*> <*> failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see: http: <*>  4
