onStandStepChanged <*>  260
setTodayTotalDetailSteps= <*>  241
isScreenOn true  1
setWriteDBLastDataMinute success  1
registersensorsuccess: true  1
setWriteDBLastDataMinute= <*>  1
theDayChanged <*>  1
setDiffTotalSteps= <*>  1
onExtend: <*> <*> <*> <*>  273
insertHiHealthData() end totalTime = <*>  2
initDataPrivacy the dataPrivacy is true  5
initUserPrivacy the userPrivacy is true  5
ifCanSync not! no cloud version  5
setBasicStandardSteps basicStandardStep= <*> restartSteps= <*>  1
reload <*> <*> restar <*>  1
onReceive action: android.intent.action.SCREEN_ON  17
processHandleBroadcastAction action: android.intent.action.SCREEN_ON  17
processHandleBroadcastAction action: android.intent.action.TIME_TICK  144
flush sensor data  17
calculateCaloriesWithCache totalCalories= <*>  241
calculateAltitudeWithCache totalAltitude= <*>  241
onReceive action: android.intent.action.SCREEN_OFF  17
flushTempCacheToDB by stand  1
flush2DB result success  1
next day: <*>  1
setGoalNotifiShownRecord <*> false  1
writeDataToDB size <*>  1
tryToRecordAsBasicStepData bWrite true  1
startTimer start autoSync  3
getTodaySportData mStepsRecordManager= <*>  6
 getStepCounterStatus= <*>  1
 getTodayBasicStandardSteps= <*>  2
 getDiffTotalSteps= <*>  2
 getTodayTotalDetailSteps = <*>  242
getBinderPackageName packageName = com.huawei.health  8
startListenerChange subscribeList = [1]  2
uploadStaticsToDB failed message= true  1
needAutoSync autoSyncSwitch is open  5
timeStamp back, extendReportTimeStamp= <*>  5
stepSyncOrNot appSynTimes is <*>  3
<*> <*> 0| <*>  1
REPORT <*> <*> <*> <*> <*>  136
screen status unknown, think screen on  1
insertHiHealthData() checkAppType <*> appID = <*>  2
checkInsertStatus stepSum or calorieSum is enough  2
checkInsertStatus stepStatSum or calorieStatSum is enough  2
InsertEvent success begin: <*> end: <*>  1
Alarm uploadStaticsToDB totalSteps= <*> <*> <*> <*>  1
upLoadOneMinuteDataToEngine time= <*> <*> <*> <*> <*>  5
bulkSaveDetailHiHealthData() size = <*> totalTime = <*>  2
uploadStaticsToDB() onResult type = <*> obj= true  1
saveRealTimeHealthDatasStat() size = <*> totalTime = <*>  1
InsertCallBack() onSuccess type = <*> data= true  1
stepSyncOrNot appSynTimes is <*> statsyncTimes is <*>  2
startInsertSportSync start auto sync, app is <*>  2
getAppContext() isAppValid health or wear, packageName = com.huawei.health  2
saveHealthDetailData() deviceID = <*> clientID= <*> id= <*>  2
startInsertSportSync first <*> steps sync, do all sync  2
insertHiHealthData() size = <*> app = <*> One Data Type = <*> packageName = com.huawei.health, writeStatType = <*>  2
saveStatData() type = <*> time = <*> statClient = <*> who is <*>  4
checkFirstSyncByType no such data in db <*> type is <*> deviceCode is <*>  2
new date = <*> type= <*> <*> old= <*>  17
saveHealthDetailData() saveOneDetailData fail hiHealthData = <*> type = <*>  2
insertHiHealthData() bulkSaveDetailHiHealthData fail errorCode = <*> errorMessage = ERR_DATA_INSERT  1
startSync hiSyncOption = HiSyncOption{syncAction= <*> syncMethod= <*> syncScope= <*> syncDataType= <*> syncModel= <*> pushAction= 0}, app = <*> who = <*>  5
initDataPrivacy the dataPrivacy switch is open, start push health data!  5
initUserPrivacy the userPrivacy switch is open, start push user data!  5
sendSyncFailedBroadcast  5
initEnviroument  1
getStepCounterStatus  1
reStartStepCounter  1
clear()  1
closeNotification...  1
deleteHealthNotification()  1
checkCurrentDay a new day comes <*> reset basicSyncCondition, currentDay is <*> oldDay is <*>  1
