LineId,Time,Component,Pid,Content,EventId,EventTemplate
1,20171223-22:15:29:606,Step_LSC,30002312,onStandStepChanged 3579,E0,onStandStepChanged <*>
2,20171223-22:15:29:615,Step_LSC,30002312,onExtend:1514038530000 14 0 4,E8,onExtend: <*> <*> <*> <*>
3,20171223-22:15:29:633,Step_StandReportReceiver,30002312,onReceive action: android.intent.action.SCREEN_ON,E15,onReceive action: android.intent.action.SCREEN_ON
4,20171223-22:15:29:635,Step_LSC,30002312,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,E16,processHandleBroadcastAction action: android.intent.action.SCREEN_ON
5,20171223-22:15:29:635,Step_StandStepCounter,30002312,flush sensor data,E18,flush sensor data
6,20171223-22:15:29:635,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##6993##548365##8661##12266##27164404,E33, getTodayTotalDetailSteps = <*>
7,20171223-22:15:29:636,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,E1,setTodayTotalDetailSteps= <*>
8,20171223-22:15:29:636,Step_LSC,30002312,onStandStepChanged 3579,E0,onStandStepChanged <*>
9,20171223-22:15:29:645,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126775,E19,calculateCaloriesWithCache totalCalories= <*>
10,20171223-22:15:29:648,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E20,calculateAltitudeWithCache totalAltitude= <*>
11,20171223-22:15:29:649,Step_StandReportReceiver,30002312,REPORT : 7007 5002 150089 240,E41,REPORT <*> <*> <*> <*> <*>
12,20171223-22:15:29:737,Step_LSC,30002312,onExtend:1514038530000 0 0 4,E8,onExtend: <*> <*> <*> <*>
13,20171223-22:15:29:738,Step_LSC,30002312,onStandStepChanged 3579,E0,onStandStepChanged <*>
14,20171223-22:15:29:792,Step_LSC,30002312,onStandStepChanged 3580,E0,onStandStepChanged <*>
15,20171223-22:15:29:800,Step_LSC,30002312,onExtend:1514038530000 1 0 4,E8,onExtend: <*> <*> <*> <*>
16,20171223-22:15:29:950,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7007##548365##8661##12361##27173954,E33, getTodayTotalDetailSteps = <*>
17,20171223-22:15:29:950,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269,E1,setTodayTotalDetailSteps= <*>
18,20171223-22:15:29:959,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126797,E19,calculateCaloriesWithCache totalCalories= <*>
19,20171223-22:15:29:962,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E20,calculateAltitudeWithCache totalAltitude= <*>
20,20171223-22:15:29:962,Step_StandReportReceiver,30002312,REPORT : 7008 5003 150111 240,E41,REPORT <*> <*> <*> <*> <*>
21,20171223-22:15:30:331,Step_LSC,30002312,onStandStepChanged 3581,E0,onStandStepChanged <*>
22,20171223-22:15:30:335,Step_LSC,30002312,onExtend:1514038531000 1 0 4,E8,onExtend: <*> <*> <*> <*>
23,20171223-22:15:30:632,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7008##548365##8661##12456##27174269,E33, getTodayTotalDetailSteps = <*>
24,20171223-22:15:30:632,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951,E1,setTodayTotalDetailSteps= <*>
25,20171223-22:15:30:639,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126818,E19,calculateCaloriesWithCache totalCalories= <*>
26,20171223-22:15:30:641,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E20,calculateAltitudeWithCache totalAltitude= <*>
27,20171223-22:15:30:642,Step_StandReportReceiver,30002312,REPORT : 7009 5004 150132 240,E41,REPORT <*> <*> <*> <*> <*>
28,20171223-22:15:30:841,Step_LSC,30002312,onStandStepChanged 3583,E0,onStandStepChanged <*>
29,20171223-22:15:30:858,Step_LSC,30002312,onExtend:1514038531000 2 0 4,E8,onExtend: <*> <*> <*> <*>
30,20171223-22:15:31:142,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7009##548365##8661##12551##27174951,E33, getTodayTotalDetailSteps = <*>
31,20171223-22:15:31:143,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461,E1,setTodayTotalDetailSteps= <*>
32,20171223-22:15:31:157,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126861,E19,calculateCaloriesWithCache totalCalories= <*>
33,20171223-22:15:31:160,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E20,calculateAltitudeWithCache totalAltitude= <*>
34,20171223-22:15:31:160,Step_StandReportReceiver,30002312,REPORT : 7011 5005 150175 240,E41,REPORT <*> <*> <*> <*> <*>
35,20171223-22:15:31:841,Step_LSC,30002312,onStandStepChanged 3584,E0,onStandStepChanged <*>
36,20171223-22:15:31:862,Step_LSC,30002312,onExtend:1514038532000 1 0 4,E8,onExtend: <*> <*> <*> <*>
37,20171223-22:15:32:145,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7011##548365##8661##12646##27175461,E33, getTodayTotalDetailSteps = <*>
38,20171223-22:15:32:147,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7012##548365##8661##12741##27176464,E1,setTodayTotalDetailSteps= <*>
39,20171223-22:15:32:156,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126882,E19,calculateCaloriesWithCache totalCalories= <*>
40,20171223-22:15:32:162,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E20,calculateAltitudeWithCache totalAltitude= <*>
41,20171223-22:15:32:163,Step_StandReportReceiver,30002312,REPORT : 7012 5006 150197 240,E41,REPORT <*> <*> <*> <*> <*>
42,20171223-22:15:32:340,Step_LSC,30002312,onStandStepChanged 3585,E0,onStandStepChanged <*>
43,20171223-22:15:32:354,Step_LSC,30002312,onExtend:1514038533000 1 0 4,E8,onExtend: <*> <*> <*> <*>
44,20171223-22:15:32:647,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7012##548365##8661##12741##27176464,E33, getTodayTotalDetailSteps = <*>
45,20171223-22:15:32:648,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7013##548365##8661##12836##27176966,E1,setTodayTotalDetailSteps= <*>
46,20171223-22:15:32:656,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126904,E19,calculateCaloriesWithCache totalCalories= <*>
47,20171223-22:15:32:658,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E20,calculateAltitudeWithCache totalAltitude= <*>
48,20171223-22:15:32:659,Step_StandReportReceiver,30002312,REPORT : 7013 5007 150218 240,E41,REPORT <*> <*> <*> <*> <*>
49,20171223-22:15:32:840,Step_LSC,30002312,onStandStepChanged 3586,E0,onStandStepChanged <*>
50,20171223-22:15:32:846,Step_LSC,30002312,onExtend:1514038533000 1 0 4,E8,onExtend: <*> <*> <*> <*>
51,20171223-22:15:33:144,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7013##548365##8661##12836##27176966,E33, getTodayTotalDetailSteps = <*>
52,20171223-22:15:33:144,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7014##548365##8661##12931##27177463,E1,setTodayTotalDetailSteps= <*>
53,20171223-22:15:33:148,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126925,E19,calculateCaloriesWithCache totalCalories= <*>
54,20171223-22:15:33:149,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E20,calculateAltitudeWithCache totalAltitude= <*>
55,20171223-22:15:33:149,Step_StandReportReceiver,30002312,REPORT : 7014 5007 150239 240,E41,REPORT <*> <*> <*> <*> <*>
56,20171223-22:15:33:341,Step_LSC,30002312,onStandStepChanged 3587,E0,onStandStepChanged <*>
57,20171223-22:15:33:370,Step_LSC,30002312,onExtend:1514038534000 1 0 4,E8,onExtend: <*> <*> <*> <*>
58,20171223-22:15:33:643,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7014##548365##8661##12931##27177463,E33, getTodayTotalDetailSteps = <*>
59,20171223-22:15:33:644,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7015##548365##8661##13026##27177962,E1,setTodayTotalDetailSteps= <*>
60,20171223-22:15:33:658,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126947,E19,calculateCaloriesWithCache totalCalories= <*>
61,20171223-22:15:33:662,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E20,calculateAltitudeWithCache totalAltitude= <*>
62,20171223-22:15:33:663,Step_StandReportReceiver,30002312,REPORT : 7015 5008 150261 240,E41,REPORT <*> <*> <*> <*> <*>
63,20171223-22:15:34:711,Step_LSC,30002312,onStandStepChanged 3588,E0,onStandStepChanged <*>
64,20171223-22:15:34:723,Step_LSC,30002312,onExtend:1514038535000 1 0 4,E8,onExtend: <*> <*> <*> <*>
65,20171223-22:15:34:723,Step_StandReportReceiver,30002312,onReceive action: android.intent.action.SCREEN_OFF,E21,onReceive action: android.intent.action.SCREEN_OFF
66,20171223-22:15:34:848,Step_LSC,30002312,onStandStepChanged 3589,E0,onStandStepChanged <*>
67,20171223-22:15:34:851,Step_LSC,30002312,onExtend:1514038535000 1 0 4,E8,onExtend: <*> <*> <*> <*>
68,20171223-22:15:35:11,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7015##548365##8661##13026##27177962,E33, getTodayTotalDetailSteps = <*>
69,20171223-22:15:35:12,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13121##27179330,E1,setTodayTotalDetailSteps= <*>
70,20171223-22:15:35:20,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126989,E19,calculateCaloriesWithCache totalCalories= <*>
71,20171223-22:15:35:22,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E20,calculateAltitudeWithCache totalAltitude= <*>
72,20171223-22:15:35:23,Step_ScreenUtil,30002312,isScreenOn true,E2,isScreenOn true
73,20171223-22:15:35:23,Step_StandReportReceiver,30002312,"screen status unknown,think screen on",E42,"screen status unknown, think screen on"
74,20171223-22:15:35:23,Step_StandReportReceiver,30002312,REPORT : 7017 5010 150304 240,E41,REPORT <*> <*> <*> <*> <*>
75,20171223-22:15:35:96,Step_StandReportReceiver,30002312,onReceive action: android.intent.action.SCREEN_ON,E15,onReceive action: android.intent.action.SCREEN_ON
76,20171223-22:15:35:97,Step_LSC,30002312,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,E16,processHandleBroadcastAction action: android.intent.action.SCREEN_ON
77,20171223-22:15:35:97,Step_StandStepCounter,30002312,flush sensor data,E18,flush sensor data
78,20171223-22:15:35:98,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7017##548365##8661##13121##27179330,E33, getTodayTotalDetailSteps = <*>
79,20171223-22:15:35:98,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13216##27179417,E1,setTodayTotalDetailSteps= <*>
80,20171223-22:15:35:98,Step_LSC,30002312,onStandStepChanged 3589,E0,onStandStepChanged <*>
81,20171223-22:15:35:104,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126989,E19,calculateCaloriesWithCache totalCalories= <*>
82,20171223-22:15:35:112,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E20,calculateAltitudeWithCache totalAltitude= <*>
83,20171223-22:15:35:112,Step_StandReportReceiver,30002312,REPORT : 7017 5010 150304 240,E41,REPORT <*> <*> <*> <*> <*>
84,20171223-22:15:35:198,Step_LSC,30002312,onStandStepChanged 3589,E0,onStandStepChanged <*>
85,20171223-22:15:35:201,Step_LSC,30002312,onExtend:1514038536000 0 0 4,E8,onExtend: <*> <*> <*> <*>
86,20171223-22:15:35:348,Step_LSC,30002312,onStandStepChanged 3590,E0,onStandStepChanged <*>
87,20171223-22:15:35:352,Step_LSC,30002312,onExtend:1514038536000 1 0 4,E8,onExtend: <*> <*> <*> <*>
88,20171223-22:15:35:413,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7017##548365##8661##13216##27179417,E33, getTodayTotalDetailSteps = <*>
