authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*>  117
check pass; user unknown  117
*** info [mice.c(1766)]:   1
imps2: Auto-detected intellimouse PS/2  1
ROOT LOGIN ON tty2  1
Detected <*> MHz processor.  1
Console: colour VGA+ <*>  1
Security Scaffold <*> initialized  1
Checking 'hlt' instruction... OK.  1
Setting network parameters: succeeded  1
VFS: Disk quotas dquot_6.5.1  1
removing device node '/udev/vcsa2'  2
removing device node '/udev/vcs2'  2
creating device node '/udev/vcs2'  2
creating device node '/udev/vcsa2'  2
CPU: <*> cache: <*>  1
ACPI: Subsystem revision <*>  1
PCI: Probing PCI hardware  1
SELinux: Registering netfilter hooks  1
authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*> user= root  351
authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*> user= guest  17
authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*> user= test  4
Memory: <*> available <*> kernel code, <*> reserved, <*> data, <*> init, <*> highmem)  1
session opened for user <*> by (uid= <*>  122
session opened for user <*> by LOGIN(uid= <*>  1
pci_hotplug: PCI Hot Plug PCI Core version: <*>  1
session closed for user <*>  123
ALERT exited abnormally with <*>  43
Received SNMP packet(s) from <*>  1
BIOS-provided physical RAM map:   1
mapped <*> trampoline to <*>  1
Calibrating delay loop... <*> BogoMIPS  1
POSIX conformance testing by UNIFIX  1
NET: Registered protocol family <*>  1
audit: initializing netlink socket (disabled)  1
HCI daemon ver <*> started  1
Real Time Clock Driver <*>  1
<*> <*> - <*> (usable)  2
<*> <*> - <*> (reserved)  3
On node <*> totalpages: <*>  1
Using tsc <*> high-res timesource  1
SELinux: Starting <*> permissive mode  1
selinux_register_security: Registering <*> module capability  1
Total HugeTLB <*> allocated, <*>  1
Bringing up <*> interface: succeeded  1
Intel machine check architecture supported.  1
Initializing random number generator: succeeded  1
PCI: Using configuration type <*>  1
isapnp: Scanning for PnP cards...  1
usbcore: registered new driver usbfs  1
usbcore: registered new driver hub  1
connection from <*> <*> at <*> <*> <*> <*> <*>  909
Dentry cache hash table entries: <*> (order: <*> <*> bytes)  1
PCI: Using IRQ router PIIX/ICH <*> at <*> <*> <*>  1
User unknown timed out after <*> seconds at Sat <*> <*> <*> <*>  1
authentication failure; logname= uid= <*> euid= <*> tty= : <*> ruser= rhost=   1
cupsd shutdown succeeded  6
cupsd startup succeeded  6
Kerberos authentication failed  23
Couldn't authenticate <*>  1
<*> HIGHMEM <*>  1
<*> LOWMEM <*>  1
Capability LSM <*>  1
ACPI: Interpreter <*>  1
Starting pcmcia: <*>  1
<*> <*> <*>  1
sdpd <*> <*>  1
Initializing Cryptographic <*>  1
syslogd startup succeeded  1
irqbalance startup succeeded  1
portmap startup succeeded  1
rpc.statd startup succeeded  1
rpc.idmapd startup succeeded  1
hcid startup succeeded  1
zapping low mappings.  1
DMI <*> present.  1
Built <*> zonelists  1
Version <*> Starting  1
mtrr: <*> <*>  1
kernel.core_uses_pid = <*>  1
klogd startup succeeded  1
sdpd startup succeeded  1
restart.  7
Authentication failed from <*> <*> Permission denied in replay cache code  8
ACPI disabled because your bios is from <*> and too old  1
PCI: PCI BIOS revision <*> entry at 0xfc0ce, last bus= <*>  1
Authentication failed from <*> <*> Software caused connection abort  15
warning: can't get client address: Connection reset by peer  2
Kernel command line: ro root= LABEL= / rhgb quiet  1
There is already a security framework initialized, register_security failed.  1
apm: BIOS version <*> Flags <*> (Driver version <*>  1
PID hash table entries: <*> (order <*> <*> bytes)  1
Mount-cache hash table entries: <*> (order: <*> <*> bytes)  1
Dquot-cache hash table entries: <*> (order <*> <*> bytes)  1
Inode-cache hash table entries: <*> (order: <*> <*> bytes)  1
CPU: <*> I cache: <*> <*> D cache: <*>  1
Linux Plug and Play Support <*> (c) Adam Belay  1
ACPI: ACPI tables contain no PCI IRQ routing entries  1
ANONYMOUS FTP LOGIN FROM <*> (anonymous)  2
notify question section contains no SOA  16
Failure registering capabilities with the kernel  1
PCI: Invalid ACPI-PCI IRQ routing table  1
Transparent bridge - <*> <*> <*>  1
PCI: Probing PCI hardware (bus <*>  1
getpeername (ftpd): Transport endpoint is not connected  4
<*> <*> log source = /proc/kmsg started.  1
<*> Intel Pentium III (Coppermine) stepping <*>  1
<*> No Plug & Play device found  1
<*> agpgart interface <*> (c) Dave <*>  1
DMA zone: <*> pages, LIFO batch: <*>  1
Normal zone: <*> pages, LIFO batch: <*>  1
HighMem zone: <*> pages, LIFO batch: <*>  1
You can enable it with acpi= force  1
CPU <*> irqstacks, hard= <*> soft= <*>  1
Intel machine check reporting enabled on CPU#0.  1
Enabling fast FPU save and restore... done.  1
Enabling unmasked SIMD FPU exception support... done.  1
Linux version <*> (bhcompile@bugs.build.redhat.com) (gcc version <*> <*> (Red Hat Linux <*> <*> Sat May <*> <*> EDT <*>  1
Initializing CPU#0  1
SELinux: Initializing.  1
