LineId,Month,Date,Time,Level,Component,PID,Content,EventId,EventTemplate,variables
1,Jun,14,15:16:01,combo,sshd(pam_unix),19939.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E0,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*>,"[['218.188.2.4'], '<*>']"
2,Jun,14,15:16:02,combo,sshd(pam_unix),19937.0,check pass; user unknown,E1,check pass; user unknown,[[]]
3,Jun,14,15:16:02,combo,sshd(pam_unix),19937.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E0,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*>,"[['218.188.2.4'], '<*>']"
4,Jun,15,02:04:59,combo,sshd(pam_unix),20882.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E19,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*> user= root,"[[], '220-135-151-1.hinet-ip.hinet.net']"
5,Jun,15,02:04:59,combo,sshd(pam_unix),20884.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E19,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*> user= root,"[[], '220-135-151-1.hinet-ip.hinet.net']"
6,Jun,15,02:04:59,combo,sshd(pam_unix),20883.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E19,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*> user= root,"[[], '220-135-151-1.hinet-ip.hinet.net']"
7,Jun,15,02:04:59,combo,sshd(pam_unix),20885.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E19,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*> user= root,"[[], '220-135-151-1.hinet-ip.hinet.net']"
8,Jun,15,02:04:59,combo,sshd(pam_unix),20886.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E19,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*> user= root,"[[], '220-135-151-1.hinet-ip.hinet.net']"
9,Jun,15,02:04:59,combo,sshd(pam_unix),20892.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E19,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*> user= root,"[[], '220-135-151-1.hinet-ip.hinet.net']"
10,Jun,15,02:04:59,combo,sshd(pam_unix),20893.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E19,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*> user= root,"[[], '220-135-151-1.hinet-ip.hinet.net']"
