IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>  36
ARPT: <*> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq <*> Ack <*> Win size <*>  10
ARPT: <*> AQM agg results <*> len hi/lo: <*> <*> BAbitmap(0-3) <*> <*> <*> <*>  7
<*> <*> | I | VoipWrapper | DAVEngineImpl.cpp:1400:Close | close video chat. llFriendUIN = <*>  4
hibernate_alloc_pages act <*> inact <*> anon <*> throt <*> spec <*> wire <*> wireinit <*>  2
**** [IOBluetoothFamily][ProcessBluetoothTransportShowsUpActionWL] -- Connected to the transport successfully -- <*> -- <*> -- <*> ****  1
hibernate_teardown: wired_pages <*> free_pages <*> active_pages <*> inactive_pages <*> speculative_pages <*> cleaned_pages <*> compressor_pages <*>  1
<*> <*> <*> [lvl=2] main() Fetcher received a request: <NSMutableURLRequest: <*> { URL: <*> }  1
Thermal pressure state: <*> Memory pressure state: <*>  39
AirPort: Link Down on awdl0. Reason <*> (Unspecified).  7
AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = <*> dlla_reporting_supported = <*>  6
Location icon should now be in state 'Inactive'  20
Location icon should now be in state 'Active'  17
USBMSC Identifier (non-unique): <*> <*> <*> <*> <*>  12
tcp_connection_handle_connect_conditions_bad <*> failed: <*> - No network route  18
ARPT: <*> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.  9
<*> <<<< Boss >>>> figPlaybackBossPrerollCompleted: unexpected preroll-complete notification  23
[HID] [MT] MTActuatorManagement::getActuatorRef Calling MTActuatorOpen() outside of MTTrackpadHIDManager.  1
Unexpected payload found for message <*> dataLen <*>  2
Internal name did not resolve to internal address!  1
ARPT: <*> framerdy <*> bmccmd <*> framecnt <*>  8
assertion failed: <*> <*> + <*> <*> <*>  3
<*> <*> <*> [lvl=2] main() ksfetch done fetching.  1
<*> <*> <*> [lvl=2] main() Fetcher is exiting.  1
-_continuousScroll is deprecated for NSScrollWheel. Please use -hasPreciseScrollingDeltas.  1
-deviceDeltaY is deprecated for NSScrollWheel. Please use -scrollingDeltaY.  1
<IMMacNotificationCenterManager: <*> Updating enabled: NO (Topics: ( ))  1
<*> dealloc  17
AppleActuatorDevice::stop Entered  1
AppleActuatorDevice::start Entered  1
AppleActuatorDeviceUserClient::start Entered  1
AppleActuatorDeviceUserClient::stop Entered  1
[BluetoothHIDDeviceController] EventServiceDisconnectedCallback  1
[BluetoothHIDDeviceController] EventServiceConnectedCallback  2
AppleActuatorHIDEventDriver: stop  2
############################## _getSysMsgList  10
hibernate_machine_init reading  2
BuildActDeviceEntry exit  2
BuildActDeviceEntry enter  2
CCProfileMonitor::freeResources done  1
hibernate_rebuild started  1
ARPT: <*> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]  12
ARPT: <*> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable]  16
ARPT: <*> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable]  12
