LineId,Time,Program,Content,EventId,EventTemplate,variables
1,10.30 16:49:06,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
2,10.30 16:49:06,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
3,10.30 16:49:06,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
4,10.30 16:49:07,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:01",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '00:01'], '0', '0']"
5,10.30 16:49:07,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
6,10.30 16:49:07,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
7,10.30 16:49:07,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
8,10.30 16:49:07,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 403 bytes sent, 426 bytes received, lifetime <1 sec",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['<1 sec', 'proxy.cse.cuhk.edu.hk:5070'], '426', '403']"
9,10.30 16:49:07,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
10,10.30 16:49:07,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
11,10.30 16:49:07,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 451 bytes sent, 18846 bytes (18.4 KB) received, lifetime <1 sec",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['<1 sec', 'proxy.cse.cuhk.edu.hk:5070', '18.4', 'KB'], '451', '18846']"
12,10.30 16:49:08,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 445 bytes sent, 5174 bytes (5.05 KB) received, lifetime <1 sec",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['<1 sec', 'proxy.cse.cuhk.edu.hk:5070', '5.05', 'KB'], '445', '5174']"
13,10.30 16:49:08,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
14,10.30 16:49:08,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1190 bytes (1.16 KB) sent, 1671 bytes (1.63 KB) received, lifetime 00:02",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '1.16', '1.63', '00:02', 'KB', 'KB'], '1190', '1671']"
15,10.30 16:49:08,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
16,10.30 16:49:08,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['<1 sec', 'proxy.cse.cuhk.edu.hk:5070'], '0', '0']"
17,10.30 16:49:09,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1165 bytes (1.13 KB) sent, 3098 bytes (3.02 KB) received, lifetime 00:01",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '1.13', '3.02', '00:01', 'KB', 'KB'], '1165', '3098']"
18,10.30 16:49:09,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
19,10.30 16:49:09,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1165 bytes (1.13 KB) sent, 815 bytes received, lifetime <1 sec",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['<1 sec', 'proxy.cse.cuhk.edu.hk:5070', '1.13', 'KB'], '1165', '815']"
20,10.30 16:49:09,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
