LineId,Date,Time,Level,Component,Content,EventId,EventTemplate,variables
1,17/06/09,20:10:40,INFO,executor.CoarseGrainedExecutorBackend,"Registered signal handlers for [TERM, HUP, INT]",E0,"Registered signal handlers for [TERM, HUP, INT]",[[]]
2,17/06/09,20:10:40,INFO,spark.SecurityManager,"Changing view acls to: yarn,curi",E6,"Changing view acls to: yarn, curi",[[]]
3,17/06/09,20:10:40,INFO,spark.SecurityManager,"Changing modify acls to: yarn,curi",E7,"Changing modify acls to: yarn, curi",[[]]
4,17/06/09,20:10:40,INFO,spark.SecurityManager,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",E13,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",[[]]
5,17/06/09,20:10:41,INFO,spark.SecurityManager,"Changing view acls to: yarn,curi",E6,"Changing view acls to: yarn, curi",[[]]
6,17/06/09,20:10:41,INFO,spark.SecurityManager,"Changing modify acls to: yarn,curi",E7,"Changing modify acls to: yarn, curi",[[]]
7,17/06/09,20:10:41,INFO,spark.SecurityManager,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",E13,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",[[]]
8,17/06/09,20:10:41,INFO,slf4j.Slf4jLogger,Slf4jLogger started,E14,Slf4jLogger started,[[]]
9,17/06/09,20:10:41,INFO,Remoting,Starting remoting,E16,Starting remoting,[[]]
10,17/06/09,20:10:41,INFO,Remoting,Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],E18,Remoting started; listening on addresses : [akka.tcp: //sparkExecutorActorSystem@mesos-slave-07: <*>,[[]]
11,17/06/09,20:10:41,INFO,util.Utils,Successfully started service 'sparkExecutorActorSystem' on port 55904.,E1,Successfully started service 'sparkExecutorActorSystem' on port <*>,[[]]
12,17/06/09,20:10:41,INFO,storage.DiskBlockManager,Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application_1485248649253_0147/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4,E20,Created local directory at <*>,[[]]
13,17/06/09,20:10:41,INFO,storage.MemoryStore,MemoryStore started with capacity 17.7 GB,E8,MemoryStore started with capacity <*> <*>,[['GB']]
