LineId,Date,Time,Level,Component,Content,EventId,EventTemplate,variables
1,2016-09-28,04:30:30,Info,CBS,Loaded Servicing Stack v6.1.7601.23505 with Core: C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\cbscore.dll,E0,Loaded Servicing Stack <*> with Core: C: \Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\cbscore.dll,[[]]
2,2016-09-28,04:30:31,Info,CSI,00000001@2016/9/27:20:30:31.455 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fef9fb9b6d @0x7fef9f8358f @0xff83e97c @0xff83d799 @0xff83db2f),E3,<*> <*> <*> <*> WcpInitialize (wcp.dll version <*> called (stack <*>,"[['0x7fed806eb5d ', '0x7fef9fb9b6d ', '0x7fef9f8358f ', '0xff83e97c ', '0xff83d799 '], '00000001@2016/9/27:']"
3,2016-09-28,04:30:31,Info,CSI,00000002@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa006ade @0x7fef9fd2984 @0x7fef9f83665 @0xff83e97c @0xff83d799),E3,<*> <*> <*> <*> WcpInitialize (wcp.dll version <*> called (stack <*>,"[['0x7fed806eb5d ', '0x7fefa006ade ', '0x7fef9fd2984 ', '0x7fef9f83665 ', '0xff83e97c '], '00000002@2016/9/27:']"
4,2016-09-28,04:30:31,Info,CSI,00000003@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa1c8728 @0x7fefa1c8856 @0xff83e474 @0xff83d7de @0xff83db2f),E3,<*> <*> <*> <*> WcpInitialize (wcp.dll version <*> called (stack <*>,"[['0x7fed806eb5d ', '0x7fefa1c8728 ', '0x7fefa1c8856 ', '0xff83e474 ', '0xff83d7de '], '00000003@2016/9/27:']"
5,2016-09-28,04:30:31,Info,CBS,Ending TrustedInstaller initialization.,E7,Ending TrustedInstaller initialization.,[[]]
6,2016-09-28,04:30:31,Info,CBS,Starting the TrustedInstaller main loop.,E11,<*> the TrustedInstaller main loop.,"[[], 'Starting']"
7,2016-09-28,04:30:31,Info,CBS,TrustedInstaller service starts successfully.,E15,TrustedInstaller service starts successfully.,[[]]
8,2016-09-28,04:30:31,Info,CBS,SQM: Initializing online with Windows opt-in: False,E21,SQM: Initializing online with Windows opt-in: False,[[]]
9,2016-09-28,04:30:31,Info,CBS,SQM: Cleaning up report files older than 10 days.,E26,SQM: Cleaning up report files older than <*> days.,[[]]
10,2016-09-28,04:30:31,Info,CBS,SQM: Requesting upload of all unsent reports.,E22,SQM: Requesting upload of all unsent reports.,[[]]
11,2016-09-28,04:30:31,Info,CBS,"SQM: Failed to start upload with file pattern: C:\Windows\servicing\sqm\*_std.sqm, flags: 0x2 [HRESULT = 0x80004005 - E_FAIL]",E31,"SQM: Failed to start upload with file pattern: C: \Windows\servicing\sqm\*_std.sqm, flags: <*> HRESULT = <*> E_FAIL] ","[['0x2 ', '0x80004005 ']]"
12,2016-09-28,04:30:31,Info,CBS,SQM: Failed to start standard sample upload. [HRESULT = 0x80004005 - E_FAIL],E32,SQM: Failed to start standard sample upload. [ HRESULT = <*> E_FAIL] ,[['0x80004005 ']]
13,2016-09-28,04:30:31,Info,CBS,"SQM: Queued 0 file(s) for upload with pattern: C:\Windows\servicing\sqm\*_all.sqm, flags: 0x6",E34,"SQM: Queued <*> file(s) for upload with pattern: C: \Windows\servicing\sqm\*_all.sqm, flags: <*>",[[]]
14,2016-09-28,04:30:31,Info,CBS,SQM: Warning: Failed to upload all unsent reports. [HRESULT = 0x80004005 - E_FAIL],E38,SQM: Warning: Failed to upload all unsent reports. [ HRESULT = <*> E_FAIL] ,[['0x80004005 ']]
15,2016-09-28,04:30:31,Info,CBS,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.",E39,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.",[[]]
16,2016-09-28,04:30:31,Info,CBS,NonStart: Checking to ensure startup processing was not required.,E27,NonStart: Checking to ensure startup processing was not required.,[[]]
17,2016-09-28,04:30:31,Info,CSI,"00000004 IAdvancedInstallerAwareStore_ResolvePendingTransactions (call 1) (flags = 00000004, progress = NULL, phase = 0, pdwDisposition = @0xb6fd90",E40,"<*> IAdvancedInstallerAwareStore_ResolvePendingTransactions (call <*> (flags = <*> progress = NULL, phase = <*> pdwDisposition = <*>",[[]]
18,2016-09-28,04:30:31,Info,CSI,"00000005 Creating NT transaction (seq 1), objectname [6]""(null)""",E41,"<*> Creating NT transaction (seq <*> objectname [ <*> ""(null)""",[[]]
19,2016-09-28,04:30:31,Info,CSI,"00000006 Created NT transaction (seq 1) result 0x00000000, handle @0x214",E28,<*> Created NT transaction (seq <*> result <*> <*>,"[['0x00000000, ']]"
20,2016-09-28,04:30:31,Info,CSI,00000007@2016/9/27:20:30:31.462 CSI perf trace:,E1,<*> <*> <*> <*> CSI perf trace: ,[[]]
21,2016-09-28,04:30:31,Info,CBS,"NonStart: Success, startup processing not required as expected.",E2,"NonStart: Success, startup processing not required as expected.",[[]]
22,2016-09-28,04:30:31,Info,CBS,Startup processing thread terminated normally,E12,<*> processing thread terminated normally,"[[], 'Startup']"
23,2016-09-28,04:30:31,Info,CSI,00000008 CSI Store 4991456 (0x00000000004c29e0) initialized,E13,<*> CSI Store <*> <*>,"[['0x00000000004c29e0) '], '00000008', '4991456']"
24,2016-09-28,04:30:31,Info,CBS,Session: 30546173_4261722401 initialized by client WindowsUpdateAgent.,E43,Session: <*> initialized by client WindowsUpdateAgent.,"[[], '30546173_4261722401']"
25,2016-09-28,04:30:31,Info,CBS,Session: 30546173_4262462443 initialized by client WindowsUpdateAgent.,E43,Session: <*> initialized by client WindowsUpdateAgent.,"[[], '30546173_4262462443']"
26,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,E16,Warning: Unrecognized packageExtended attribute.,[[]]
27,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E29,Expecting attribute name [ HRESULT = <*> CBS_E_MANIFEST_INVALID_ITEM] ,[['0x800f080d ']]
28,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E4,Failed to get next element [ HRESULT = <*> CBS_E_MANIFEST_INVALID_ITEM] ,[['0x800f080d ']]
29,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,E16,Warning: Unrecognized packageExtended attribute.,[[]]
30,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E29,Expecting attribute name [ HRESULT = <*> CBS_E_MANIFEST_INVALID_ITEM] ,[['0x800f080d ']]
31,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E4,Failed to get next element [ HRESULT = <*> CBS_E_MANIFEST_INVALID_ITEM] ,[['0x800f080d ']]
32,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,E16,Warning: Unrecognized packageExtended attribute.,[[]]
33,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E29,Expecting attribute name [ HRESULT = <*> CBS_E_MANIFEST_INVALID_ITEM] ,[['0x800f080d ']]
34,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E4,Failed to get next element [ HRESULT = <*> CBS_E_MANIFEST_INVALID_ITEM] ,[['0x800f080d ']]
35,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,E16,Warning: Unrecognized packageExtended attribute.,[[]]
36,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E29,Expecting attribute name [ HRESULT = <*> CBS_E_MANIFEST_INVALID_ITEM] ,[['0x800f080d ']]
37,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E4,Failed to get next element [ HRESULT = <*> CBS_E_MANIFEST_INVALID_ITEM] ,[['0x800f080d ']]
38,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,E16,Warning: Unrecognized packageExtended attribute.,[[]]
39,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,E16,Warning: Unrecognized packageExtended attribute.,[[]]
40,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E29,Expecting attribute name [ HRESULT = <*> CBS_E_MANIFEST_INVALID_ITEM] ,[['0x800f080d ']]
41,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E4,Failed to get next element [ HRESULT = <*> CBS_E_MANIFEST_INVALID_ITEM] ,[['0x800f080d ']]
42,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,E16,Warning: Unrecognized packageExtended attribute.,[[]]
43,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E29,Expecting attribute name [ HRESULT = <*> CBS_E_MANIFEST_INVALID_ITEM] ,[['0x800f080d ']]
44,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E4,Failed to get next element [ HRESULT = <*> CBS_E_MANIFEST_INVALID_ITEM] ,[['0x800f080d ']]
45,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,E16,Warning: Unrecognized packageExtended attribute.,[[]]
46,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E29,Expecting attribute name [ HRESULT = <*> CBS_E_MANIFEST_INVALID_ITEM] ,[['0x800f080d ']]
47,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E4,Failed to get next element [ HRESULT = <*> CBS_E_MANIFEST_INVALID_ITEM] ,[['0x800f080d ']]
48,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,E16,Warning: Unrecognized packageExtended attribute.,[[]]
49,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E29,Expecting attribute name [ HRESULT = <*> CBS_E_MANIFEST_INVALID_ITEM] ,[['0x800f080d ']]
50,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E4,Failed to get next element [ HRESULT = <*> CBS_E_MANIFEST_INVALID_ITEM] ,[['0x800f080d ']]
51,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,E16,Warning: Unrecognized packageExtended attribute.,[[]]
52,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,E16,Warning: Unrecognized packageExtended attribute.,[[]]
53,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E29,Expecting attribute name [ HRESULT = <*> CBS_E_MANIFEST_INVALID_ITEM] ,[['0x800f080d ']]
54,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E4,Failed to get next element [ HRESULT = <*> CBS_E_MANIFEST_INVALID_ITEM] ,[['0x800f080d ']]
55,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,E16,Warning: Unrecognized packageExtended attribute.,[[]]
56,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E29,Expecting attribute name [ HRESULT = <*> CBS_E_MANIFEST_INVALID_ITEM] ,[['0x800f080d ']]
